Id,Player,Position,xG sum,xG per shot,xGOT sum,xGOT per shot,Added Value,AdV per Shot,Shots,% oT,Goals
1972903,D. Nsumbu,Forward,0.69,0.23,1.53,0.51,0.8400000000000001,0.28,3,60.0,1
826270,A. Becker,Forward,0.86,0.22,1.71,0.43,0.85,0.21,4,29.0,0
1514419,J. Kania,Forward,2.1,0.23,3.6,0.4,1.5,0.17,9,64.0,5
801378,N. J. S. Bazee,Forward,1.13,0.28,1.6,0.4,0.4700000000000002,0.12,4,67.0,1
1010072,M. Schroers,Forward,0.73,0.15,1.0,0.2,0.27,0.05,5,38.0,1
829211,M. Corboz,Midfield,0.78,0.2,1.68,0.42,0.8999999999999999,0.22,4,11.0,1
836708,S. Schreck,Midfield,0.17,0.17,0.36,0.36,0.18999999999999997,0.19,1,50.0,0
886154,I. Young,Midfield,0.82,0.16,1.78,0.36,0.9600000000000001,0.19,5,50.0,2
254185,M. Biankadi,Midfield,0.84,0.12,1.98,0.28,1.1400000000000001,0.16,7,33.0,2
1387705,M. Wörl,Midfield,1.0,0.12,2.23,0.28,1.23,0.15,8,38.0,1
892527,L. Kunze,Midfield,0.14,0.05,0.4,0.13,0.26,0.09,3,30.0,0
1066020,K. Mizuta,Midfield,0.28,0.09,0.3,0.1,0.019999999999999962,0.01,3,25.0,1
984804,S. Russo,Midfield,0.1,0.03,0.05,0.02,-0.05,-0.02,3,20.0,0
836092,J. Felix,Defense,0.15,0.08,0.67,0.34,0.52,0.26,2,25.0,1
1014486,M. Großer,Defense,1.09,0.16,2.7,0.39,1.61,0.23,7,47.0,1
1137900,L. Oppie,Defense,0.65,0.08,1.76,0.22,1.1099999999999999,0.14,8,28.0,3
886258,C. Lannert,Defense,0.13,0.04,0.06,0.02,-0.07,-0.02,3,19.0,0
